no,right,left
1,time,"long
spend
short
waste
take
spare
give
present
Working"
2,year,"past
coming
full
start
take
Spent"
3,people ,"ordinary
working
elderly
Disabled"
4,way,"long
go
find
get
make (someone's N)
come
Easy"
5,ways,"separate
find
alternative
explore
develop
Subtle"
6,man,"big
tall 
small
Dark"
7,day,"all (N long)
present
spent
final
full
working
whole
start
(have a) nice "
8,days,"early
past (few/number N)
old
spent
working
Take"
9,thing,"whole
(do the) right
real
(do the) wrong "
10,child,"only
Expecting"
11,government,"coalition
interim
Elected"
12,part,"take (N)
play (the/a)
integral
large
major
essential
Small
vital
form
significant
Full"
13,parts,"spare
component
constituent
played
Separate"
14,life,"real
 family
 everyday
 whole
 private
 normal
 live
 saved
 personal
 public
 early
 spent
 daily
 Lead"
15,lives,"Save
 past
 live
 lost
 private
 claimed (a number of)
 risk
 lead
 cost
 Daily
 spend
 Everyday
 separate
 ordinary
 normal"
16,case,"court
 present
 particular
 (a N) adjourned
 Prosecution
made
 put
 take
 clear
 strong
 Extreme"
17,cases," severe
 court
 extreme
 serious
 criminal
 Injury"
18,woman,"beautiful
 attractive
 pretty
 tall
 (good) looking"
19,work,"hard
 do
 started
 voluntary
 charity
 carried (out)
 find
 paid
 major
 Community"
20,system,welfare
21,group,"small
 ethnic (minority N)
 largest
 formed
 minority
 leading
 single
 Research"
22,number,"large
 small
 Increasing
growing
 limited
 total
 increased
 significant
 greater
 reduce
 considerable
 substantial
 high "
23,world,"Real
 whole
 modern
 Developing"
24,area,"particular
 play
 surrounding
 residential
 wide
 central
 Major"
25,course,"(in) due
 training
 main
 designed
 first
 take
 completed
 ordinary
 followed
 full
 Start"
26,company,owned
27,problem,"Solve
 real
 major
 serious
 big
 particular
 lies
 Tackle
overcome
 common
 faced
 arises
 cause
 resolve
 sort (out)
 Address"
28,service,"free
 telephone
 provide
 memorial
 intelligence
 advisory
 delivery
 full
 postal
 security
 Regular"
29,hand,"held
 took
 shook
 wash
 raised
 waved
 lifted
 helping
 stretched out (his/her…+N)
 extended
 Strong"
30,hands,"shook
 holding
 clasped
 wash
 raised
 rubbed
 Folded"
31,party,"ruling
 opposition
 Led"
32,school,"left
 medical
 Went
 Whole"
33,place,"take
 wrong
 (final) resting N
 safe
 right
 put
 Secure"
34,point,"made
 reached
 whole
 prove
 Raised"
